uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off,cluster
JKUAT,1249240,Bachelor of Science (Mechatronic Engineering),,43.334,44.953,9
JKUAT,1249242,Bachelor of Mass Communication,,38.952,40.244,3
JKUAT,1249243,Bachelor of Science (Community Development and Environment),,32.511,30.926,3
JKUAT,1249244,Bachelor of Business Information Technology,,40.799,41.904,11
JKUAT,1249245,Bachelor of Procurement and Contract Management,,40.812,41.366,7
JKUAT,1249246,Bachelor of Supply Chain Management,,39.144,32.957,7
JKUAT,1249247,Bachelor of Science (Innovation Technology Management),,36.324,33.943,7
JKUAT,1249259,Bachelor of Science (Public Management and Development),,32.874,32.025,3
JKUAT,1249274,Bachelor of Science (Food Science and Nutrition),,40.195,40.098,20
JKUAT,1249279,Bachelor of Science (Microbiology),,39.644,39.956,18
JKUAT,1249281,Bachelor of Science (Medical Microbiology),,39.535,39.792,18
JKUAT,1249290,"Bachelor of Science (Animal Health, Production & Processing)",,37.448,36.532,20
JKUAT,1249298,Bachelor of Entrepreneurship,,37.66,37.912,3
JKUAT,1249300,Bachelor of Real Estate,,43.712,42.324,14
JKUAT,1249303,Bachelor of Development Studies,,32.749,25,3
JKUAT,1249309,Bachelor of Science (Mathematics and Computer Science),,41.661,40.824,11
JKUAT,1249311,Bachelor of Science (Industrial Mathematics),,36.55,34.502,11
JKUAT,1249328,Bachelor of Science (Project Planning Management),,39.403,37.686,3
JKUAT,1249349,Bachelor of Science (Mining & Mineral Processing Engineering),,39.274,42.967,9
JKUAT,1249350,Bachelor of Science (Electronic and Computer Engineering),,43.342,43.803,9
JKUAT,1249351,Bachelor of Science (Land Resource Planning & Management),,34.48,28.314,20
JKUAT,1249352,Bachelor of Science (Financial Engineering),,42.207,43.854,7
JKUAT,1249353,Bachelor of Landscape Architecture,,41.118,42.944,10
JKUAT,1249354,Bachelor of Science (Environmental Horticulture & Landscaping Technology),,29.006,25,20
JKUAT,1249377,Bachelor of Science (Geophysics),,31.35,,9
JKUAT,1249405,Bachelor of Science (Human Nutrition and Dietetics),,38.697,37.074,20
JKUAT,1249423,Bachelor of Science (Community Health and Development),,34.775,38.915,20
JKUAT,1249437,Bachelor of Science (Biochemistry and Molecular Biology),,39.54,37.272,18
JKUAT,1249440,Bachelor of Science (Agribusiness Economics and Food Industry Management),,37.693,37.208,12
JKUAT,1249452,Bachelor of Science (Corporate Communication and Management),,34.936,31.201,3
JKUAT,1249464,Bachelor of Science (Zoology),,30.963,29.146,18
JKUAT,1249477,Bachelor of Science (Applied Biology),,35.484,34.221,18
